en,ru-RU,zh-CN,zh-TW,ja,ko,fr
Runs quietly in the background,Работает в фоне,在后台安静运行,在背景安靜執行,バックグラウンドで静かに実行,백그라운드에서 조용히 실행,S’exécute discrètement en arrière-plan
Runtime mode,Фактический режим,运行模式,執行模式,実行モード,런타임 모드,Mode d’exécution
Save,Сохранить,保存,儲存,保存,저장,Enregistrer
Save PAC URL,Сохранить URL PAC,保存 PAC URL,儲存 PAC URL,PAC URL を保存,PAC URL 저장,Enregistrer l’URL PAC
Save routing,Сохранить маршрутизацию,保存路由,儲存路由,ルーティングを保存,라우팅 저장,Enregistrer le routage
Save sources,Сохранить источники,保存源,儲存來源,ソースを保存,소스 저장,Enregistrer les sources
"Saved, but Windows refused: {0}","Сохранено, но Windows отклонила: {0}",已保存，但 Windows 拒绝：{0},已儲存，但 Windows 拒絕：{0},保存しましたが、Windows に拒否されました: {0},저장했지만 Windows에서 거부했습니다: {0},"Enregistré, mais Windows a refusé : {0}"
Scale 1 KiB/s,Шкала 1 КиБ/с,刻度 1 KiB/s,刻度 1 KiB/s,スケール 1 KiB/s,스케일 1 KiB/s,Échelle 1 Kio/s
Scale {0}/s,Шкала {0}/с,刻度 {0}/s,刻度 {0}/s,スケール {0}/s,스케일 {0}/s,Échelle {0}/s
Secure,Защищённый,安全,安全,セキュア,보안,Sécurisé
Server configuration imported.,Конфигурация сервера импортирована.,服务器配置已导入。,伺服器設定已匯入。,サーバー設定をインポートしました。,서버 구성을 가져왔습니다.,La configuration du serveur a été importée.
Server configuration saved.,Конфигурация сервера сохранена.,服务器配置已保存。,伺服器設定已儲存。,サーバー設定を保存しました。,서버 구성을 저장했습니다.,La configuration du serveur a été enregistrée.
Server is not configured.,Сервер не настроен.,服务器未配置。,伺服器未設定。,サーバーは設定されていません。,서버가 구성되지 않았습니다.,Le serveur n’est pas configuré.
Server link copied to the clipboard.,Ссылка на сервер скопирована в буфер обмена.,服务器链接已复制到剪贴板。,伺服器連結已複製到剪貼簿。,サーバーリンクをクリップボードにコピーしました。,서버 링크를 클립보드에 복사했습니다.,Le lien du serveur a été copié dans le Presse-papiers.
Server {0},Сервер {0},服务器 {0},伺服器 {0},サーバー {0},서버 {0},Serveur {0}
Settings,Настройки,设置,設定,設定,설정,Paramètres
Shadowsocks Reborn,Shadowsocks Reborn,Shadowsocks Reborn,Shadowsocks Reborn,Shadowsocks Reborn,Shadowsocks Reborn,Shadowsocks Reborn
Share,Поделиться,分享,分享,共有,공유,Partager
Share / QR,Поделиться / QR,分享 / QR,分享 / QR,共有 / QR,공유 / QR,Partage / QR
"Share a server using the same list + QR workflow as the original client, or import ss:// links.","Поделитесь сервером через список и QR-код, как в оригинальном клиенте, или импортируйте ссылки ss://.",使用与原客户端相同的列表 + QR 流程分享服务器，或导入 ss:// 链接。,使用與原始用戶端相同的清單 + QR 流程分享伺服器，或匯入 ss:// 連結。,元のクライアントと同じ一覧 + QR の流れでサーバーを共有するか、ss:// リンクをインポートします。,기존 클라이언트와 동일한 목록 + QR 흐름으로 서버를 공유하거나 ss:// 링크를 가져옵니다.,"Partager un serveur avec le même flux liste + QR que le client d’origine, ou importer des liens ss://."
Shared,Доступ из сети,已共享,已分享,共有済み,공유됨,Partagé
Shell initialization warning: {0},Предупреждение инициализации оболочки: {0},Shell 初始化警告：{0},Shell 初始化警告：{0},シェル初期化の警告: {0},셸 초기화 경고: {0},Avertissement d’initialisation du shell : {0}
Shortcut format,Формат сочетания клавиш,快捷键格式,快速鍵格式,ショートカット形式,단축키 형식,Format du raccourci
Single instance · tray active · controller unavailable,Один экземпляр · трей активен · контроллер недоступен,单实例 · 托盘活动 · 控制器不可用,單一執行個體 · 系統匣作用中 · 控制器無法使用,単一インスタンス · トレイ有効 · コントローラー利用不可,단일 인스턴스 · 트레이 활성 · 컨트롤러 사용 불가,Instance unique · zone de notification active · contrôleur indisponible
Single instance · tray active · system shell ready,Один экземпляр · трей активен · системная оболочка готова,单实例 · 托盘活动 · 系统 shell 就绪,單一執行個體 · 系統匣作用中 · 系統 Shell 就緒,単一インスタンス · トレイ有効 · システムシェル準備完了,단일 인스턴스 · 트레이 활성 · 시스템 셸 준비됨,Instance unique · zone de notification active · shell système prêt
Size (pt),Размер (пт),大小（pt）,大小（pt）,サイズ (pt),크기(pt),Taille (pt)
Skip this version,Пропустить эту версию,跳过此版本,略過此版本,このバージョンをスキップ,이 버전 건너뛰기,Ignorer cette version
Source URL copied.,URL источника скопирован.,源 URL 已复制。,來源 URL 已複製。,ソース URL をコピーしました。,소스 URL을 복사했습니다.,URL source copiée.
Sources are tried independently and merged. A missing .sha256sum sidecar is non-fatal.,"Источники обрабатываются независимо, а результаты объединяются. Отсутствие файла .sha256sum не является критической ошибкой.",各源会独立尝试并合并。缺少 .sha256sum sidecar 不会导致失败。,各來源會獨立嘗試並合併。缺少 .sha256sum sidecar 不會造成失敗。,各ソースは個別に試行され、結果がマージされます。.sha256sum サイドカーがなくても致命的ではありません。,각 소스는 독립적으로 시도되고 병합됩니다. .sha256sum 사이드카가 없어도 치명적이지 않습니다.,Les sources sont essayées indépendamment puis fusionnées. L’absence d’un fichier annexe .sha256sum n’est pas bloquante.
ss:// link,Ссылка ss://,ss:// 链接,ss:// 連結,ss:// リンク,ss:// 링크,Lien ss://
Start on Boot disabled,Автозагрузка отключена,开机启动已禁用,開機啟動已停用,スタートアップを無効化しました,시작 시 실행 비활성화됨,Démarrage automatique désactivé
Start on Boot enabled,Автозагрузка включена,开机启动已启用,開機啟動已啟用,スタートアップを有効化しました,시작 시 실행 활성화됨,Démarrage automatique activé
Starting…,Запуск…,正在启动…,正在啟動…,起動中…,시작하는 중…,Démarrage…
Startup,Автозапуск,启动,啟動,スタートアップ,시작,Démarrage
Stay,Остаться,保留,保留,このまま,유지,Conserver
Stopped,Остановлен,已停止,已停止,停止,중지됨,Arrêté
Suspended,Приостановлен,已暂停,已暫停,一時停止,일시 중지됨,Suspendu
Suspended by Game Mode,Приостановлен игровым режимом,被游戏模式暂停,由遊戲模式暫停,Game Mode により一時停止,Game Mode에 의해 일시 중지됨,Suspendu par le Game Mode
System,Системная,系统,系統,システム,시스템,Système
System proxy,Системный прокси,系统代理,系統 Proxy,システムプロキシ,시스템 프록시,Proxy système
System shell,Системная оболочка,系统 shell,系統 Shell,システムシェル,시스템 셸,Shell système
TCP capture,Захват TCP,TCP 捕获,TCP 擷取,TCP キャプチャ,TCP 캡처,Capture TCP
TCP redirect port,Порт перенаправления TCP,TCP 重定向端口,TCP 重新導向連接埠,TCP リダイレクトポート,TCP 리디렉션 포트,Port de redirection TCP
The application list could not be applied.,Не удалось применить список приложений.,无法应用应用程序列表。,無法套用應用程式清單。,アプリケーション一覧を適用できませんでした。,애플리케이션 목록을 적용할 수 없습니다.,Impossible d’appliquer la liste des applications.
Theme follows Windows by default. Choose a fixed theme only when you explicitly want to override the system setting.,По умолчанию тема следует настройкам Windows. Выберите фиксированную тему только если хотите переопределить системную настройку.,默认跟随 Windows 主题。仅在明确需要覆盖系统设置时选择固定主题。,預設跟隨 Windows 主題。只有在明確需要覆寫系統設定時才選擇固定主題。,既定では Windows テーマに従います。システム設定を明示的に上書きしたい場合のみ固定テーマを選択してください。,기본적으로 Windows 테마를 따릅니다. 시스템 설정을 명시적으로 재정의하려는 경우에만 고정 테마를 선택하세요.,Le thème suit Windows par défaut. Choisissez un thème fixe uniquement si vous souhaitez explicitement remplacer le réglage système.
Theme now follows Windows.,Теперь тема следует настройкам Windows.,主题现在跟随 Windows。,主題現在跟隨 Windows。,テーマは Windows に従うようになりました。,이제 테마가 Windows를 따릅니다.,Le thème suit désormais Windows.
This server has not been configured. Discard it and switch to the selected server?,Этот сервер не настроен. Отбросить его и перейти к выбранному серверу?,此服务器尚未配置。是否丢弃它并切换到选中的服务器？,此伺服器尚未設定。是否捨棄它並切換至選取的伺服器？,このサーバーは未設定です。破棄して選択したサーバーに切り替えますか？,이 서버는 구성되지 않았습니다. 버리고 선택한 서버로 전환하시겠습니까?,Ce serveur n’est pas configuré. L’ignorer et passer au serveur sélectionné ?
This version will be skipped.,Эта версия будет пропущена.,将跳过此版本。,將略過此版本。,このバージョンはスキップされます。,이 버전은 건너뜁니다.,Cette version sera ignorée.
Timeout must be between 1 and {0} seconds.,Тайм-аут должен быть от 1 до {0} секунд.,超时必须在 1 到 {0} 秒之间。,逾時必須介於 1 到 {0} 秒之間。,タイムアウトは 1～{0} 秒の範囲で指定してください。,제한 시간은 1초에서 {0}초 사이여야 합니다.,Le délai doit être compris entre 1 et {0} secondes.
Top most,Поверх остальных окон,始终置顶,最上層,常に手前に表示,항상 위,Toujours au premier plan
Traffic,Трафик,流量,流量,トラフィック,트래픽,Trafic
Traffic mode,Режим трафика,流量模式,流量模式,トラフィックモード,트래픽 모드,Mode de trafic
Traffic unavailable,Данные о трафике недоступны,流量不可用,流量無法使用,トラフィック利用不可,트래픽 사용 불가,Trafic indisponible
Traffic · last 60 seconds,Трафик · последние 60 секунд,流量 · 最近 60 秒,流量 · 最近 60 秒,トラフィック · 過去60秒,트래픽 · 최근 60초,Trafic · 60 dernières secondes
Transparent TCP/UDP capture through the elevated NetworkService helper.,"Прозрачный захват TCP/UDP через NetworkService, запущенный с повышенными правами.",通过已提升权限的 NetworkService helper 进行透明 TCP/UDP 捕获。,透過已提高權限的 NetworkService helper 進行透明 TCP/UDP 擷取。,昇格された NetworkService ヘルパーによる透過 TCP/UDP キャプチャです。,권한이 상승된 NetworkService 도우미를 통한 투명 TCP/UDP 캡처입니다.,Capture TCP/UDP transparente via le helper NetworkService élevé.
Tray active · {0} hotkey(s) failed to register,Трей активен · не удалось зарегистрировать горячих клавиш: {0},托盘活动 · {0} 个快捷键注册失败,系統匣作用中 · {0} 個快速鍵註冊失敗,トレイ有効 · {0} 個のホットキー登録に失敗,트레이 활성 · 단축키 {0}개 등록 실패,Zone de notification active · échec d’enregistrement de {0} raccourci(s)
Tray command failed: {0},Ошибка команды трея: {0},托盘命令失败：{0},系統匣命令失敗：{0},トレイコマンドに失敗しました: {0},트레이 명령 실패: {0},Échec de la commande de la zone de notification : {0}
Triggered by,Активирован приложением,触发者,觸發者,トリガー,트리거,Déclenché par
Type,Тип,类型,類型,種類,유형,Type
UDP capture,Захват UDP,UDP 捕获,UDP 擷取,UDP キャプチャ,UDP 캡처,Capture UDP
UDP redirect port,Порт перенаправления UDP,UDP 重定向端口,UDP 重新導向連接埠,UDP リダイレクトポート,UDP 리디렉션 포트,Port de redirection UDP
Unable to read log: {0},Не удалось прочитать лог: {0},无法读取日志：{0},無法讀取記錄：{0},ログを読み取れません: {0},로그를 읽을 수 없습니다: {0},Impossible de lire le journal : {0}
Unavailable,Недоступно,不可用,無法使用,利用不可,사용 불가,Indisponible
Unconfigured server,Ненастроенный сервер,未配置服务器,未設定伺服器,未設定サーバー,구성되지 않은 서버,Serveur non configuré
Update,Обновить,更新,更新,更新,업데이트,Mise à jour
Update all,Обновить всё,全部更新,全部更新,すべて更新,모두 업데이트,Tout mettre à jour
Update available: {0},Доступно обновление: {0},有可用更新：{0},有可用更新：{0},利用可能な更新: {0},사용 가능한 업데이트: {0},Mise à jour disponible : {0}
Update postponed for this session.,Обновление отложено до следующего запуска.,本次会话已推迟更新。,本次工作階段已延後更新。,このセッションでは更新を延期しました。,이번 세션에서 업데이트를 연기했습니다.,La mise à jour est reportée pour cette session.
"Use an executable name, full path, or wildcard pattern. Game Mode is automatic and is never a selectable traffic mode.","Укажите имя исполняемого файла, полный путь или маску. Игровой режим включается автоматически и никогда не является выбираемым режимом трафика.",使用可执行文件名、完整路径或通配符模式。游戏模式是自动的，永远不是可选择的流量模式。,使用執行檔名稱、完整路徑或萬用字元模式。遊戲模式是自動的，永遠不是可選擇的流量模式。,実行ファイル名、完全パス、またはワイルドカードパターンを使用します。Game Mode は自動であり、選択可能なトラフィックモードではありません。,"실행 파일 이름, 전체 경로 또는 와일드카드 패턴을 사용합니다. Game Mode는 자동이며 선택 가능한 트래픽 모드가 아닙니다.","Utiliser un nom d’exécutable, un chemin complet ou un motif générique. Le Game Mode est automatique et n’est jamais un mode de trafic sélectionnable."
Use Shadowsocks as the Windows system proxy,Использовать Shadowsocks как системный прокси Windows,将 Shadowsocks 用作 Windows 系统代理,將 Shadowsocks 用作 Windows 系統 Proxy,Shadowsocks を Windows システムプロキシとして使用,Shadowsocks를 Windows 시스템 프록시로 사용,Utiliser Shadowsocks comme proxy système Windows
User mode,Пользовательский режим,用户模式,使用者模式,ユーザーモード,사용자 모드,Mode utilisateur
Username and password must be specified together.,Имя пользователя и пароль должны быть указаны вместе.,必须同时指定用户名和密码。,必須同時指定使用者名稱與密碼。,ユーザー名とパスワードは両方指定する必要があります。,사용자 이름과 비밀번호를 함께 지정해야 합니다.,Le nom d’utilisateur et le mot de passe doivent être spécifiés ensemble.
Verbose logging,Подробное логирование,详细日志,詳細記錄,詳細ログ,상세 로깅,Journalisation détaillée
"Version information, project links and update controls.","Информация о версии, ссылки проекта и управление обновлениями.",版本信息、项目链接和更新控制。,版本資訊、專案連結與更新控制項。,バージョン情報、プロジェクトリンク、更新コントロールです。,"버전 정보, 프로젝트 링크 및 업데이트 제어입니다.","Informations de version, liens du projet et contrôles de mise à jour."
WinDivert,WinDivert,WinDivert,WinDivert,WinDivert,WinDivert,WinDivert
Windows proxy,Прокси Windows,Windows 代理,Windows Proxy,Windows プロキシ,Windows 프록시,Proxy Windows
Windows refused: {0},Windows отклонила: {0},Windows 拒绝：{0},Windows 拒絕：{0},Windows に拒否されました: {0},Windows에서 거부됨: {0},Windows a refusé : {0}
Wrap text,Переносить строки,自动换行,自動換行,テキストを折り返す,텍스트 줄 바꿈,Renvoyer à la ligne
You are up to date · {0},Установлена актуальная версия · {0},已是最新版本 · {0},已是最新版本 · {0},最新です · {0},최신 버전입니다 · {0},Vous êtes à jour · {0}
{0} available: {1},{0} доступен: {1},{0} 可用：{1},{0} 可用：{1},{0} が利用可能: {1},{0} 사용 가능: {1},{0} disponible : {1}
{0} Fix the current server before selecting another one.,{0} Исправьте текущий сервер перед выбором другого.,{0} 请先修复当前服务器，再选择其他服务器。,{0} 請先修正目前伺服器，再選擇其他伺服器。,{0} 別のサーバーを選択する前に現在のサーバーを修正してください。,{0} 다른 서버를 선택하기 전에 현재 서버를 수정하세요.,{0} Corrigez le serveur actuel avant d’en sélectionner un autre.
{0} theme enabled.,Включена тема «{0}».,已启用 {0} 主题。,已啟用 {0} 主題。,{0} テーマを有効にしました。,{0} 테마를 활성화했습니다.,Thème {0} activé.
{0} · {1} mode,{0} · режим {1},{0} · {1} 模式,{0} · {1} 模式,{0} · {1} モード,{0} · {1} 모드,{0} · mode {1}
… showing the last 256 KiB …,… показаны последние 256 КиБ …,…仅显示最后 256 KiB…,…僅顯示最後 256 KiB…,…末尾 256 KiB のみ表示…,…마지막 256 KiB만 표시…,… affichage des 256 derniers Kio …
Version {0},Версия {0},版本 {0},版本 {0},バージョン {0},버전 {0},Version {0}
A configured game temporarily changes the runtime state to Game and suspends WinDivert. It is not a third selectable capture mode.,Настроенная игра временно переводит runtime-состояние в Game и приостанавливает WinDivert. Это не третий выбираемый режим захвата.,已配置的游戏会暂时将运行状态切换为 Game 并暂停 WinDivert。它不是第三种可选的捕获模式。,已設定的遊戲會暫時將執行狀態切換為 Game 並暫停 WinDivert。它不是第三種可選的擷取模式。,設定済みのゲームが実行されると、実行状態が一時的に Game に切り替わり WinDivert が停止します。これは3つ目の選択可能なキャプチャモードではありません。,설정된 게임이 실행되면 런타임 상태가 일시적으로 Game으로 전환되고 WinDivert가 중지됩니다. 이는 세 번째로 선택 가능한 캡처 모드가 아닙니다.,Un jeu configuré fait temporairement passer l’état d’exécution à Game et suspend WinDivert. Il ne s’agit pas d’un troisième mode de capture sélectionnable.
Focus a shortcut field and press Ctrl/Alt/Shift/Win plus a key. Press Delete or Backspace with a modifier to use that key; use Esc to clear the field. The status column shows the last registration result.,Выберите поле сочетания клавиш и нажмите Ctrl/Alt/Shift/Win вместе с нужной клавишей. Delete или Backspace с модификатором можно использовать как клавишу сочетания; Esc очищает поле. В колонке состояния показывается результат последней регистрации.,聚焦快捷键字段，然后按 Ctrl/Alt/Shift/Win 加一个按键。按住修饰键时可使用 Delete 或 Backspace；按 Esc 清空字段。状态列显示上次注册结果。,聚焦快速鍵欄位，然後按 Ctrl/Alt/Shift/Win 加一個按鍵。按住修飾鍵時可使用 Delete 或 Backspace；按 Esc 清空欄位。狀態欄會顯示上次註冊結果。,ショートカット欄にフォーカスし、Ctrl/Alt/Shift/Win とキーを押します。修飾キーと一緒なら Delete または Backspace も使用できます。Esc で欄をクリアします。状態列には前回の登録結果が表示されます。,단축키 필드에 포커스를 두고 Ctrl/Alt/Shift/Win과 키를 누르세요. 수정 키와 함께 Delete 또는 Backspace도 사용할 수 있습니다. Esc로 필드를 지웁니다. 상태 열에는 마지막 등록 결과가 표시됩니다.,"Placez le focus dans un champ de raccourci puis appuyez sur Ctrl/Alt/Shift/Win avec une touche. Avec un modificateur, Delete ou Backspace peuvent être utilisés ; Esc efface le champ. La colonne d’état affiche le dernier résultat d’enregistrement."
Use the tray icon to reopen Shadowsocks Reborn. A plain second launch points you back to the tray instead of starting another proxy.,"Используйте значок в трее, чтобы снова открыть Shadowsocks Reborn. Обычный повторный запуск укажет на уже работающий экземпляр в трее вместо запуска ещё одного прокси.",使用托盘图标重新打开 Shadowsocks Reborn。普通的第二次启动只会指向已运行的托盘实例，不会启动另一个代理。,使用系統匣圖示重新開啟 Shadowsocks Reborn。一般的第二次啟動只會指向已執行的系統匣執行個體，不會啟動另一個 Proxy。,トレイアイコンから Shadowsocks Reborn を開き直してください。通常の2回目の起動は別のプロキシを開始せず、既存のトレイインスタンスへ誘導します。,트레이 아이콘을 사용해 Shadowsocks Reborn을 다시 여세요. 일반적인 두 번째 실행은 다른 프록시를 시작하지 않고 실행 중인 트레이 인스턴스로 안내합니다.,Utilisez l’icône de la zone de notification pour rouvrir Shadowsocks Reborn. Un second lancement normal vous renvoie vers l’instance déjà active au lieu de démarrer un autre proxy.
GeoSite data refreshed and Local PAC was regenerated.,"Данные GeoSite обновлены, локальный PAC пересоздан.",GeoSite 数据已刷新，并重新生成了本地 PAC。,GeoSite 資料已重新整理，並重新產生本機 PAC。,GeoSite データを更新し、ローカル PAC を再生成しました。,GeoSite 데이터를 새로 고치고 로컬 PAC를 다시 생성했습니다.,Les données GeoSite ont été actualisées et le PAC local a été régénéré.
GeoSite refresh did not complete successfully.,Обновление GeoSite не завершилось успешно.,GeoSite 刷新未成功完成。,GeoSite 重新整理未成功完成。,GeoSite の更新が正常に完了しませんでした。,GeoSite 새로 고침이 정상적으로 완료되지 않았습니다.,L’actualisation GeoSite ne s’est pas terminée correctement.
Invalid port,Недопустимый порт,无效端口,無效的連接埠,無効なポート,잘못된 포트,Port invalide
Local proxy,Локальный прокси,本地代理,本機 Proxy,ローカルプロキシ,로컬 프록시,Proxy local
Online configuration update failed.,Не удалось обновить онлайн-конфигурацию.,在线配置更新失败。,線上設定更新失敗。,オンライン設定の更新に失敗しました。,온라인 구성 업데이트에 실패했습니다.,Échec de la mise à jour de la configuration en ligne.
Online configuration updated.,Онлайн-конфигурация обновлена.,在线配置已更新。,線上設定已更新。,オンライン設定を更新しました。,온라인 구성을 업데이트했습니다.,La configuration en ligne a été mise à jour.
QR code,QR-код,二维码,QR 碼,QR コード,QR 코드,Code QR
Server configuration,Конфигурация сервера,服务器配置,伺服器設定,サーバー設定,서버 구성,Configuration du serveur
The requested routing configuration could not be applied.,Не удалось применить запрошенную конфигурацию маршрутизации.,无法应用请求的路由配置。,無法套用要求的路由設定。,要求されたルーティング設定を適用できませんでした。,요청한 라우팅 구성을 적용할 수 없습니다.,Impossible d’appliquer la configuration de routage demandée.
Traffic routing applied.,Маршрутизация трафика применена.,流量路由已应用。,流量路由已套用。,トラフィックルーティングを適用しました。,트래픽 라우팅을 적용했습니다.,Le routage du trafic a été appliqué.
Import from URL:,Импортировать из URL:,从 URL 导入：,從 URL 匯入：,URL からインポート:,URL에서 가져오기:,Importer depuis l’URL :
Administrator mode could not be enabled.,Не удалось включить режим администратора.,无法启用管理员模式。,無法啟用系統管理員模式。,管理者モードを有効にできませんでした。,관리자 모드를 활성화할 수 없습니다.,Impossible d’activer le mode administrateur.
User mode could not be enabled.,Не удалось включить пользовательский режим.,无法启用用户模式。,無法啟用使用者模式。,ユーザーモードを有効にできませんでした。,사용자 모드를 활성화할 수 없습니다.,Impossible d’activer le mode utilisateur.
Detected games,Найденные игры,检测到的游戏,偵測到的遊戲,検出されたゲーム,감지된 게임,Jeux détectés
"Shadowsocks can scan local Steam, Epic Games, GOG and Xbox game libraries. Nothing is added until you choose Add.","Shadowsocks может сканировать локальные библиотеки Steam, Epic Games, GOG и Xbox. Ничего не добавляется, пока вы не нажмёте «Добавить».",Shadowsocks 可以扫描本地 Steam、Epic Games、GOG 和 Xbox 游戏库。只有选择“添加”后才会加入列表。,Shadowsocks 可以掃描本機 Steam、Epic Games、GOG 與 Xbox 遊戲庫。只有選擇「新增」後才會加入清單。,Shadowsocks はローカルの Steam、Epic Games、GOG、Xbox ライブラリをスキャンできます。「追加」を選ぶまで何も追加されません。,"Shadowsocks는 로컬 Steam, Epic Games, GOG 및 Xbox 게임 라이브러리를 검색할 수 있습니다. 추가를 선택하기 전에는 아무것도 추가되지 않습니다.","Shadowsocks peut analyser les bibliothèques locales Steam, Epic Games, GOG et Xbox. Rien n’est ajouté tant que vous ne choisissez pas Ajouter."
Scan installed games,Найти установленные игры,扫描已安装游戏,掃描已安裝遊戲,インストール済みゲームをスキャン,설치된 게임 검색,Analyser les jeux installés
Scan has not run yet.,Сканирование ещё не запускалось.,尚未运行扫描。,尚未執行掃描。,まだスキャンしていません。,아직 검색하지 않았습니다.,L’analyse n’a pas encore été exécutée.
Scanning installed games…,Поиск установленных игр…,正在扫描已安装游戏…,正在掃描已安裝遊戲…,インストール済みゲームをスキャンしています…,설치된 게임을 검색하는 중…,Analyse des jeux installés…
No supported game libraries were detected.,Поддерживаемые библиотеки игр не обнаружены.,未检测到受支持的游戏库。,未偵測到受支援的遊戲庫。,対応するゲームライブラリが検出されませんでした。,지원되는 게임 라이브러리가 감지되지 않았습니다.,Aucune bibliothèque de jeux prise en charge n’a été détectée.
Found {0} games.,Найдено игр: {0}.,找到 {0} 个游戏。,找到 {0} 個遊戲。,{0} 件のゲームが見つかりました。,게임 {0}개를 찾았습니다.,{0} jeu(x) trouvé(s).
Game scan failed.,Не удалось выполнить поиск игр.,游戏扫描失败。,遊戲掃描失敗。,ゲームのスキャンに失敗しました。,게임 검색에 실패했습니다.,Échec de l’analyse des jeux.
No detected games to show.,Найденных игр пока нет.,没有可显示的检测到游戏。,沒有可顯示的偵測遊戲。,表示できる検出済みゲームはありません。,표시할 감지된 게임이 없습니다.,Aucun jeu détecté à afficher.
Added,Добавлено,已添加,已新增,追加済み,추가됨,Ajouté
Add application manually,Добавить приложение вручную,手动添加应用程序,手動新增應用程式,アプリケーションを手動で追加,애플리케이션 수동 추가,Ajouter une application manuellement
"Live log viewer with traffic history, wrap, toolbar, and always-on-top settings.","Просмотр логов в реальном времени с историей трафика, переносом строк, панелью инструментов и режимом поверх окон.",带流量历史、自动换行、工具栏和置顶设置的实时日志查看器。,具有流量歷史、自動換行、工具列與最上層設定的即時記錄檢視器。,トラフィック履歴、折り返し、ツールバー、常に手前の設定を備えたライブログビューアです。,"트래픽 기록, 줄 바꿈, 도구 모음 및 항상 위 설정이 있는 실시간 로그 뷰어입니다.","Visionneuse de journaux en direct avec historique du trafic, retour à la ligne, barre d’outils et option toujours au premier plan."
Storage,Хранилище,存储,儲存,ストレージ,저장소,Stockage
Clean Mode is active. All writable data is stored in a temporary session directory and removed when Shadowsocks exits.,Clean Mode активен. Все изменяемые данные хранятся во временном каталоге сеанса и удаляются при выходе из Shadowsocks.,Clean Mode 已启用。所有可写数据都存储在临时会话目录中，并在 Shadowsocks 退出时删除。,Clean Mode 已啟用。所有可寫入資料都儲存在暫時工作階段目錄中，並在 Shadowsocks 結束時刪除。,Clean Mode が有効です。書き込み可能なデータはすべて一時セッション ディレクトリに保存され、Shadowsocks 終了時に削除されます。,Clean Mode가 활성화되었습니다. 쓰기 가능한 모든 데이터는 임시 세션 디렉터리에 저장되며 Shadowsocks 종료 시 삭제됩니다.,Clean Mode est actif. Toutes les données modifiables sont stockées dans un dossier de session temporaire et supprimées à la fermeture de Shadowsocks.
Start on Boot is unavailable in Clean Mode.,Автозагрузка недоступна в Clean Mode.,Clean Mode 下无法启用 Windows 启动项。,Clean Mode 下無法啟用 Windows 啟動項。,Clean Mode では Windows と同時に起動できません。,Clean Mode에서는 Windows 시작 프로그램을 사용할 수 없습니다.,Le démarrage avec Windows est indisponible en Clean Mode.
Failed to open data folder.,Не удалось открыть папку данных.,无法打开数据文件夹。,無法開啟資料資料夾。,データ フォルダーを開けませんでした。,데이터 폴더를 열 수 없습니다.,Impossible d’ouvrir le dossier de données.
All writable application data is stored under %LOCALAPPDATA%\Shadowsocks.,Все изменяемые данные приложения хранятся в %LOCALAPPDATA%\Shadowsocks.,所有可写应用数据都存储在 %LOCALAPPDATA%\Shadowsocks 中。,所有可寫入應用程式資料都儲存在 %LOCALAPPDATA%\Shadowsocks 中。,書き込み可能なアプリケーション データはすべて %LOCALAPPDATA%\Shadowsocks に保存されます。,쓰기 가능한 모든 애플리케이션 데이터는 %LOCALAPPDATA%\Shadowsocks에 저장됩니다.,Toutes les données modifiables de l’application sont stockées dans %LOCALAPPDATA%\Shadowsocks.
Open %LOCALAPPDATA%\Shadowsocks,Открыть %LOCALAPPDATA%\Shadowsocks,打开 %LOCALAPPDATA%\Shadowsocks,開啟 %LOCALAPPDATA%\Shadowsocks,%LOCALAPPDATA%\Shadowsocks を開く,%LOCALAPPDATA%\Shadowsocks 열기,Ouvrir %LOCALAPPDATA%\Shadowsocks
Open Clean Mode folder,Открыть папку Clean Mode,打开 Clean Mode 文件夹,開啟 Clean Mode 資料夾,Clean Mode フォルダーを開く,Clean Mode 폴더 열기,Ouvrir le dossier Clean Mode
Server Name,Имя сервера,服务器名称,伺服器名稱,サーバー名,서버 이름,Nom du serveur
Optional display name,Необязательное отображаемое имя,可选显示名称,選用顯示名稱,任意の表示名,선택적 표시 이름,Nom d’affichage facultatif
Delete server,Удалить сервер,删除服务器,刪除伺服器,サーバーを削除,서버 삭제,Supprimer le serveur
Server deleted.,Сервер удалён.,服务器已删除。,伺服器已刪除。,サーバーを削除しました。,서버가 삭제되었습니다.,Serveur supprimé.
Paste URL from clipboard,Вставить URL из буфера обмена,从剪贴板粘贴 URL,從剪貼簿貼上 URL,クリップボードから URL を貼り付け,클립보드에서 URL 붙여넣기,Coller l’URL depuis le presse-papiers
Open image,Открыть изображение,打开图片,開啟圖片,画像を開く,이미지 열기,Ouvrir une image
Scan QR from clipboard image,Сканировать QR из изображения в буфере,扫描剪贴板图片中的二维码,掃描剪貼簿圖片中的 QR 碼,クリップボード画像から QR をスキャン,클립보드 이미지에서 QR 스캔,Scanner le QR depuis l’image du presse-papiers
Clipboard does not contain an image.,В буфере обмена нет изображения.,剪贴板中没有图片。,剪貼簿中沒有圖片。,クリップボードに画像がありません。,클립보드에 이미지가 없습니다.,Le presse-papiers ne contient pas d’image.
Allow other devices to connect,Разрешить подключения других устройств,允许其他设备连入,允許其他裝置連入,他のデバイスからの接続を許可する,다른 기기에서 연결 허용,Autoriser d'autres appareils à se connecter
